Instituto/Curso , Cancelamento Por Reopção , Decurso de Prazo Máximo para Conclusão de Curso Desistência , Falecimento do Aluno, Prescrito, Programa Cancelado, Término do Benefício do Convênio, Transferência para Outra IES, Total Geral
Instituto de Ciências Biológicas - ICB,3,0,13,0,3,0,0,0,19
Biomedicina,0,0,2,0,0,0,0,0,2
Biotecnologia,0,0,1,0,0,0,0,0,1
Ciências Biológicas,3,0,10,0,0,0,0,0,13
Engenharia de Bioprocessos,0,0,0,0,3,0,0,0,3
Instituto de Ciências da Arte - ICA,1,0,11,0,4,0,0,0,16
Artes Visuais (Bacharelado/Licenciatura),0,0,2,0,0,0,0,0,2
Dança (Licenciatura),0,0,2,0,0,0,0,0,2
Museologia (Bacharelado),0,0,3,0,0,0,0,0,3
Música (Licenciatura),0,0,1,0,4,0,0,0,5
Teatro (Licenciatura),1,0,0,0,0,0,0,0,1
Tecnologia em Produção Multimídia,0,0,1,0,0,0,0,0,1
Cinema e Audiovisual - Intensivo,0,0,2,0,0,0,0,0,2
Instituto de Ciências da Educação - ICED,1,0,12,0,3,0,2,0,18
Educação Física,0,0,3,0,3,0,2,0,8
Pedagogia,1,0,9,0,0,0,0,0,10
Instituto de Ciências da Saúde - ICSA,1,0,33,0,1,0,0,1,36
Enfermagem,1,0,11,0,0,0,0,0,12
Farmácia,0,0,3,0,0,0,0,0,3
Fisioterapia,0,0,2,0,0,0,0,0,2
Medicina,0,0,1,0,0,0,0,0,1
Nutrição,0,0,6,0,1,0,0,0,7
Odontologia,0,0,10,0,0,0,0,1,11
Instituto de Ciências Exatas e Naturais - ICEN,12,0,76,4,2,0,0,0,94
Ciência da Computação,0,0,5,2,0,0,0,0,7
Ciências Naturais (Licenciatura),1,0,10,0,0,0,0,0,11
Estatística - Bacharelado,1,0,9,0,0,0,0,0,10
Física,4,0,20,0,1,0,0,0,25
Matemática (Licenciatura),2,0,14,0,0,0,0,0,16
Química,3,0,12,0,1,0,0,0,16
Química Industrial,1,0,2,0,0,0,0,0,3
Sistemas de Informação,0,0,4,2,0,0,0,0,6
Instituto de Ciências Jurídicas - ICJ,0,0,8,0,0,0,0,0,8
Direito,0,0,8,0,0,0,0,0,8
Instituto de Ciências Sociais Aplicadas - ICSA,15,0,41,0,73,0,0,1,130
Administração,2,0,4,0,0,0,0,0,6
Arquivologia,2,0,0,0,0,0,0,0,2
Biblioteconomia,2,0,7,0,28,0,0,0,37
Ciências Contábeis,3,0,5,0,14,0,0,0,22
Ciências Econômicas,2,0,9,0,1,0,0,0,12
Serviço Social,3,0,10,0,19,0,0,0,32
Turismo,1,0,6,0,11,0,0,1,19
Instituto de Educação Matemática e  Científica - IEMCI,3,0,4,0,0,0,0,0,7
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens, 3,0,4,0,0,0,0,0,7
Instituto de Filosofia e CIências Humanas - IFCH,14,0,26,0,1,1,0,0,42
Ciências Sociais,6,0,8,0,1,0,0,0,15
Filosofia (Bacharelado/Licenciatura),2,0,1,0,0,0,0,0,3
Geografia (Bacharelado/Licenciatura),4,0,8,0,0,0,0,0,12
História,0,0,4,0,0,1,0,0,5
Psicologia - Formação do Psicólogo,2,0,3,0,0,0,0,0,5
Geografia - Licenciatura Intensivo,0,0,2,0,0,0,0,0,2
Instituto de Geociências - IG,10,0,40,0,21,0,0,0,71
Geofísica,3,0,12,0,0,0,0,0,15
Geologia,1,0,7,0,19,0,0,0,27
Meteorologia,4,0,13,0,0,0,0,0,17
Oceanografia,2,0,8,0,2,0,0,0,12
Instituto de Letras e Comunicação - ILC,15,0,17,1,1,0,0,1,35
Comunicação Social,2,0,1,0,0,0,0,0,3
Letras (Licenciatura em Língua Alemã),7,0,1,0,0,0,0,0,8
Letras (Licenciatura em Língua Francesa),2,0,0,0,0,0,0,0,2
Letras (Licenciatura em Língua Espanhola),0,0,3,0,0,0,0,0,3
Letras (Licenciatura em Língua Inglesa),3,0,1,0,0,0,0,0,4
Letras (Licenciatura em Língua Portuguesa),1,0,10,1,1,0,0,1,14
Letras (Licenciatura em Libras e Língua Portuguesa) - Intensivo,0,0,1,0,0,0,0,0,1
Instituto de Tecnologia - ITEC,13,1,111,0,26,0,0,4,155
Arquitetura e Urbanismo,0,0,6,0,0,0,0,1,7
Engenharia Biomédica,0,0,9,0,0,0,0,0,9
Engenharia Civil,2,0,17,0,0,0,0,0,19
Engenharia da Computação,6,1,10,0,0,0,0,1,18
Engenharia de Alimentos,0,0,7,0,0,0,0,1,8
Engenharia de Telecomunicações,1,0,8,0,0,0,0,0,9
Engenharia Elétrica,1,0,8,0,0,0,0,0,9
Engenharia Ferroviária e Logística,0,0,6,0,0,0,0,0,6
Engenharia Mecânica,2,0,8,0,0,0,0,1,11
Engenharia Naval,0,0,5,0,0,0,0,0,5
Engenharia Química,1,0,19,0,6,0,0,0,26
Engenharia Sanitária e Ambiental,0,0,8,0,20,0,0,0,28
Total,88,1,392,5,135,1,2,7,631
