Instituto/Curso , Cadastro Cancelado, Cancelamento Novo Vestibular, Cancelamento Judicial, Cancelamento Por CRPL Zero, Decurso de Prazo Máximo p/ Conclusão de Curso, Desistência, Excluído Art.45 Possui Outro Curso, Falecimento do Aluno, Limite de Trancamento, Prescrito, Término do Benefício do Convênio, Transferência p/ Outra IES, Total Geral
Instituto de Ciências da Arte - ICA,0,3,0,0,0,36,2,1,0,2,0,0,44
Instituto de Ciências Biológicas - ICB,2,2,1,0,0,19,0,0,0,2,0,0,26
Instituto de Ciências da Educação - ICED,0,3,0,0,0,21,1,0,0,0,0,2,27
Instituto de Ciências Exatas e Naturais - ICEN,0,5,0,0,0,62,2,1,0,1,2,2,75
Instituto de Ciências Jurídicas - ICJ,1,3,0,0,0,148,4,0,0,11,0,5,172
Instituto de Ciências da Saúde - ICS,0,1,1,0,1,21,2,1,0,0,0,3,30
Instituto de Ciências Sociais Aplicadas - ICSA,1,12,0,0,0,124,7,2,0,1,0,2,149
Instituto de Educação Matemática e Científica - IEMCI ,0,4,0,0,0,17,1,0,0,0,0,0,22
Instituto de Filosofia e Ciências Humanas - IFCH,1,4,0,0,0,58,3,0,0,6,0,0,72
Instituto de Geociências - IG,0,3,1,0,2,59,0,0,0,4,0,0,69
Institutos de Letras e Comunicação - ILC,0,14,0,73,1,61,1,0,1,14,0,2,167
Instituto de Tecnologia - ITEC,0,5,0,0,2,214,4,0,6,9,1,3,244
