Instituto/Curso , Cancelamento Por Reopção , Decurso de Prazo Máximo para Conclusão de Curso Desistência , Falecimento do Aluno, Prescrito, Programa Cancelado, Término do Benefício do Convênio, Transferência para Outra IES, Total Geral
Instituto de Ciências Biológicas - ICB ,3,0,13,0,3,0,0,0,19
Instituto de Ciências da Arte - ICA ,1,0,11,0,4,0,0,0,16
Instituto de Ciências da Educação - ICED ,1,0,12,0,3,0,2,0,18
Instituto de Ciências da Saúde - ICSA ,1,0,33,0,1,0,0,1,36
Instituto de Ciências Exatas e Naturais - ICEN ,12,0,76,4,2,0,0,0,94
Instituto de Ciências Jurídicas - ICJ ,0,0,8,0,0,0,0,0,8
Instituto de Ciências Sociais Aplicadas - ICSA ,15,0,41,0,73,0,0,1,130
Instituto de Educação Matemática e Científica - IEMCI ,3,0,4,0,0,0,0,0,7
Instituto de Filosofia e Ciências Humanas - IFCH ,14,0,26,0,1,1,0,0,42
Instituto de Geociências - IG ,10,0,40,0,21,0,0,0,71
Instituto de Letras e Comunicação - ILC ,15,0,17,1,1,0,0,1,35
Instituto de Tecnologia - ITEC ,13,1,111,0,26,0,0,4,155
