Instituto/Curso, Canc.por Reopção, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Prescrito, Transferência para outra IES, Transferência Interna (administrativa), Total geral
Instituto de Ciências Biológicas - ICB , 3,0,7,45,0,0,32,1,0,0,88
Biomedicina , 1,0,0,16,0,0,0,0,0,0,17
Biotecnologia , 0,0,0,3,0,0,0,0,0,0,3
Ciências Biológicas , 2,0,7,22,0,0,32,1,0,0,64
Engenharia de Bioprocessos , 0,0,0,4,0,0,0,0,0,0,4
Instituto de Ciências da Arte - ICA , 3,0,1,36,0,1,17,43,0,0,101
Tecnologia em Produção Multimídia , 0,0,0,4,0,1,0,0,0,0,5
Instituto de Ciências da Educação - ICED , 3,0,22,22,0,0,39,12,0,0,98
Educação Física , 0,0,0,6,0,0,0,11,0,0,17
Pedagogia , 3,0,22,16,0,0,39,1,0,0,81
Instituto de Ciências da Saúde - ICS , 7,0,2,73,1,0,17,55,3,0,158
Enfermagem , 2,0,1,16,0,0,0,2,0,0,21
Farmácia , 0,0,1,11,0,0,17,0,3,0,32
Fisioterapia , 1,0,0,4,0,0,0,0,0,0,5
Medicina , 1,0,0,15,1,0,0,34,0,0,51
Nutrição , 3,0,0,6,0,0,0,0,0,0,9
Odontologia , 0,0,0,21,0,0,0,19,0,0,40
Instituto de Ciências Exatas e Naturais - ICEN , 14,0,4,141,0,0,0,152,0,0,311
Ciência da Computação , 2,0,0,17,0,0,0,20,0,0,39
Estatística - Bacharelado , 0,0,0,15,0,0,0,0,0,0,15
Física , 4,0,1,37,0,0,0,1,0,0,43
Química , 1,0,1,14,0,0,0,0,0,0,16
Química Industrial , 3,0,0,8,0,0,0,0,0,0,11
Sistemas de Informação , 1,0,0,6,0,0,0,46,0,0,53
Terapia Ocupacional , 0,0,0,1,0,0,0,0,0,0,1
Instituto de Ciências Jurídicas - ICJ , 0,0,0,24,0,0,16,0,0,0,40
Direito , 0,0,0,24,0,0,16,0,0,0,40
Administração , 1,0,6,17,0,0,0,0,0,0,24
Arquivologia , 2,0,0,3,0,0,0,10,0,0,15
Biblioteconomia , 3,0,4,11,0,0,0,2,0,0,20
Ciências Contábeis , 3,0,44,13,0,1,30,0,0,0,91
Servião Social , 3,0,0,12,0,0,0,49,0,1,65
Turismo , 3,0,3,15,0,1,1,4,0,0,27
Instituto de Educação Matemática e Científica - IEMCI , 5,0,0,9,0,0,0,0,0,0,14
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens , 5,0,0,9,0,0,0,0,0,0,14
Instituto de Filosofia e Ciências Humanas - IFCH , 8,0,40,71,0,0,71,16,0,0,206
Ciências Sociais , 5,0,32,21,0,0,41,8,0,0,107
História , 1,0,3,19,0,0,0,2,0,0,25
Psicologia , 0,0,1,0,0,0,0,0,0,0,1
Psicologia - Formação do Psicólogo , 0,0,0,10,0,0,0,0,0,0,10
Instituto de Geociências - IG , 9,8,3,66,0,0,5,95,0,1,187
Geofísica , 3,0,1,23,0,0,0,0,0,0,27
Geologia , 0,0,0,17,0,0,0,4,0,0,21
Meteorologia , 4,0,0,16,0,0,0,68,0,1,89
Oceanografia , 2,8,2,10,0,0,5,23,0,0,50
Instituto de Letras e Comunicação - ILC , 17,0,0,53,0,0,0,1,0,0,71
Comunicação Social , 3,0,0,2,0,0,0,1,0,0,6
Instituto de Tecnologia - ITEC , 25,0,21,139,0,0,43,5,0,1,234
Arquitetura e Urbanismo , 2,0,2,5,0,0,0,0,0,0,9
Engenharia Biomédica , 1,0,0,10,0,0,0,0,0,0,11
Engenharia Civil , 2,0,5,20,0,0,6,1,0,0,34
Engenharia da Computação , 5,0,4,15,0,0,0,0,0,0,24
Engenharia de Alimentos , 3,0,1,8,0,0,0,0,0,0,12
Engenharia de Telecomunicações , 2,0,0,8,0,0,0,0,0,0,10
Engenharia Elétrica , 2,0,0,13,0,0,2,0,0,0,17
Engenharia Ferroviária e Logística , 0,0,0,9,0,0,0,0,0,0,9
Engenharia Naval , 2,0,4,8,0,0,0,0,0,0,14
Engenharia Química , 0,0,1,19,0,0,2,0,0,1,23
Engenharia Sanitária e Ambiental , 1,0,2,13,0,0,24,2,0,0,42
Total , 109,8,159,769,1,3,271,608,3,3,1
