Instituto/Curso, Canc.por Reopção, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Prescrito, Transferência para outra IES, Transferência Interna (administrativa), Total geral
Instituto Amazônico de Agriculturas Familiares - INEAF,1,0,12,0,0,0,13
Desenvolvimento Rural (Bacharelado),1,0,12,0,0,0,13
Instituto de Ciências Biológicas - ICB,4,0,33,0,0,0,37
Biomedicina (Bacharelado),1,0,5,0,0,0,6
Biotecnologia (Bacharelado),2,0,8,0,0,0,10
Ciências Biológicas (Bacharelado),1,0,5,0,0,0,6
Ciências Biológicas (Licenciatura),0,0,10,0,0,0,10
Engenharia de Bioprocessos (Bacharelado),0,0,5,0,0,0,5
Instituto de Ciências da Arte - ICA,10,0,18,0,0,0,28
Artes Visuais (Bacharelado),0,0,1,0,0,0,1
Artes Visuais (Licenciatura),3,0,4,0,0,0,7
Cinema e Audiovisual (Bacharelado),1,0,2,0,0,0,3
Dança (Licenciatura),1,0,2,0,0,0,3
Museologia (Bacharelado),1,0,1,0,0,0,2
Produção Cênica (Tecnlógico),0,0,3,0,0,0,3
Produção Multimídia (Tecnlógico),0,0,3,0,0,0,3
Teatro (Licenciatura),2,0,4,0,0,0,6
Instituto de Ciências da Educação - ICED,1,0,16,0,1,0,18
Educação Física (Licenciatura),1,0,1,0,0,0,2
Pedagogia (Licenciatura),0,0,15,0,1,0,16
Instituto de Ciências da Saúde – ICS,6,0,64,0,0,0,71
Enfermagem (Bacharelado),2,0,9,0,0,0,11
Farmácia (Bacharelado),0,0,14,0,0,0,14
Fisioterapia (Bacharelado),0,0,8,0,0,0,8
Medicina (Bacharelado),0,0,5,0,0,1,6
Odontologia (Bacharelado),3,0,10,0,0,0,13
Terapia Ocupacional (Bacharelado),1,0,6,0,0,0,7
Instituto de Ciências Exatas e Naturais - ICEN,16,0,107,0,0,0,123
Ciência da Computação (Bacharelado),1,0,3,0,0,0,4
Ciências Naturais (Licenciatura),1,0,17,0,0,0,18
Estatística (Bacharelado),0,0,8,0,0,0,8
Física (Licenciatura),0,0,5,0,0,0,5
Física (Bacharelado),1,0,8,0,0,0,9
Física (Licenciatura),5,0,22,0,0,0,27
Matemática (Licenciatura),2,0,20,0,0,0,22
Química (Bacharelado),2,0,2,0,0,0,4
Química (Licenciatura),0,0,9,0,0,0,9
Química Industrial (Bacharelado),3,0,8,0,0,0,11
Sistemas de Informação (Bacharelado),1,0,5,0,0,0,6
Instituto de Ciências Jurídicas - ICJ,0,0,11,0,2,0,13
