Instituto/Curso,Área, Cadastro cancelado, Cancelamento por reopção, Cancelamento por CRPL zero, Decurso de prazo máximo p/ conclusão de curso, Desistência, Limite de trancamentos, Prescrito, Programa cancelado, Término do benefício do convênio,Trancamento de programa,Transferência para outra IES,Total Geral
Biomedicina,BIO,0,3,2,3,6,3,16,0,0,0,0,33
Biotecnologia,BIO,0,2,3,2,6,5,10,0,0,0,0,28
Ciências Biológicas (Licenciatura),BIO,0,3,7,7,2,9,1,0,0,0,0,29
Ciências Biológicas (Bacharelado),BIO,0,2,5,2,3,2,0,0,0,0,0,14
Engenharia de Bioprocessos,BIO,0,3,0,0,3,6,0,0,0,0,0,12
Artes Visuais (Licenciatura),HUM,0,0,0,1,4,0,3,0,0,3,0,11
Artes Visuais (Bacharelado),HUM,0,0,2,3,1,1,2,0,0,0,0,9
Cinema e Audiovisual,HUM,0,1,5,1,1,6,3,0,0,0,0,17
Cinema e Audiovisual - Intensivo,HUM,0,0,0,0,0,2,3,0,0,0,0,5
Dança (Licenciatura),HUM,0,0,6,3,1,4,1,0,0,0,0,15
Museologia (Bacharelado),HUM,0,3,7,3,2,4,23,0,0,0,0,42
Música (Licenciatura),HUM,0,0,7,1,3,3,17,0,0,0,0,31
Teatro (Licenciatura),HUM,0,0,6,3,1,8,5,0,0,0,0,23
Tecnologia em Produção Multimídia,HUM,0,0,2,2,2,1,5,0,0,0,0,12
Educação Física,HUM,0,0,4,2,3,4,1,0,0,0,0,14
Pedagogia,HUM,0,1,0,7,12,4,49,0,0,0,0,73
Enfermagem,BIO,0,0,10,0,4,5,21,0,0,0,0,40
Farmácia,BIO,0,2,8,1,4,46,1,0,0,0,0,62
Fisioterapia,BIO,0,2,3,0,2,2,16,0,0,0,0,25
Medicina,BIO,0,0,0,1,2,2,3,1,0,0,1,10
Nutrição,BIO,0,1,11,3,6,4,19,0,0,0,0,44
Odontologia,BIO,0,1,7,3,9,10,15,0,0,0,0,45
Terapia Ocupacional,BIO,0,0,2,0,1,4,8,0,0,0,0,15
