,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2017,,,,,,,,,,,,
Instituto/Curso, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Possui outro curso,Falecimento do Aluno,Programa Cancelado,Total Geral,
Instituto Amazônico de  Agriculturas Familiares – INEAF,-,-,-,-,-,-,,-,-,-,-,
Instituto de Ciências Biológicas - ICB ,3,0,7,45,1,32,0,0,0,0,88,
Instituto de Ciências da Arte - ICA ,3,0,1,36,43,17,0,0,1,0,101,
Instituto de Ciências da Educação - ICED ,3,0,22,22,12,39,0,0,0,0,98,
Instituto de Ciências da Saúde - ICS ,7,0,2,73,55,17,0,1,0,3,158,
Instituto de Ciências Exatas e Naturais - ICEN ,14,0,4,141,152,0,0,0,0,0,311,
Instituto de Ciências Jurídicas - ICJ ,0,0,0,24,0,16,0,0,0,0,40,
Instituto de Ciências Sociais Aplicadas – ICSA,15,0,59,90,228,31,1,0,2,0,426,
Instituto de Educação Matemática e Científica - IEMCI ,5,0,0,9,0,0,0,0,0,0,14,
Instituto de Filosofia e Ciências Humanas - IFCH ,8,0,40,71,16,71,0,0,0,0,206,
Instituto de Geociências - IG ,9,8,3,66,95,5,1,0,0,0,187,
Instituto de Letras e Comunicação - ILC ,17,0,0,53,1,0,0,0,0,0,71,
Instituto de Tecnologia - ITEC ,25,0,21,139,5,43,1,0,0,0,234,
,,,,,,,,,,,,
2018,,,,,,,,,,,,
Instituto/Curso, Cancelamento por reopção, Cancelamento por CRPL zero, Decurso de prazo máximo p/ conclusão de curso, Desistência, Prescrito, Limite de trancamentos,Transferência para outra IES, Programa cancelado, Término do benefício do convênio,Trancamento de programa, Cadastro cancelado,Total Geral
Instituto Amazônico de  Agriculturas Familiares – INEAF,,,,,,,,,,,0,
Instituto de Ciências Biológicas - ICB ,13,17,14,20,27,25,0,0,0,0,0,116
Instituto de Ciências da Arte - ICA ,4,35,17,15,62,29,0,0,0,3,0,165
Instituto de Ciências da Educação - ICED ,1,4,9,15,50,8,0,0,0,0,0,87
Instituto de Ciências da Saúde - ICS ,6,41,8,28,83,73,1,1,0,0,0,241
Instituto de Ciências Exatas e Naturais - ICEN ,37,91,81,67,190,153,1,0,0,0,0,620
Instituto de Ciências Jurídicas - ICJ ,1,0,21,8,153,4,1,0,0,0,0,188
Instituto de Ciências Sociais Aplicadas – ICSA,20,136,77,58,218,134,2,0,0,0,1,646
Instituto de Educação Matemática e Científica - IEMCI ,5,3,4,7,47,5,0,0,0,0,0,71
Instituto de Filosofia e Ciências Humanas - IFCH ,17,44,41,58,237,72,1,0,0,4,0,474
Instituto de Geociências - IG ,6,9,36,18,18,22,1,0,0,0,0,110
Instituto de Letras e Comunicação - ILC ,17,51,37,53,106,149,0,0,0,0,0,413
Instituto de Tecnologia - ITEC ,35,76,68,91,416,170,2,0,1,0,0,859
2019,,,,,,,,,,,,
Instituto/Curso, Canc. Por Reopção, Cancelamento Por Crpl Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Prescrito, Limite de Trancamentos, Transf.P/Outra IES, Excluído Art.45 Possui Outro Curso, Cancelamento Judicial, Transferência Interna (Administrativa) ,Total geral,
Instituto Amazônico de  Agriculturas Familiares – INEAF,1,0,0,1,0,0,0,0,0,0,2,
Instituto de Ciências Biológicas - ICB ,0,0,20,28,0,0,0,0,0,0,48,
Instituto de Ciências da Arte - ICA ,1,0,32,22,0,0,0,0,0,1,56,
Instituto de Ciências da Educação - ICED ,1,0,51,15,1,0,0,0,0,0,68,
