Curso,Vagas
Desenvolvimento Rural,46
Biomedicina,41
Biotecnologia,40
Ciências Biológicas,31
Ciências Biológicas,31
Ciências Biológicas,31
Engenharia de Bioprocessos,40
Artes Visuais,36
Cinema e Audiovisual,27
Dança,40
Museologia,30
Música,31
Teatro,40
Produção Cênica,8
Produção Multimídia,27
Educação Física,41
Pedagogia,45
Pedagogia,46
Pedagogia,46
Pedagogia,46
Enfermagem,43
Enfermagem,43
Farmácia,36
Farmácia,36
Fisioterapia,31
Medicina,76
Medicina,76
Nutrição,33
Nutrição,33
Odontologia,24
Odontologia,23
Odontologia,23
Odontologia,24
Terapia Ocupacional,33
Ciência da Computação,41
Ciências Naturais,35
Ciências Naturais,35
Estatística,40
Física,31
Física,50
Física,51
Matemática,41
Matemática,41
Química,46
Química,20
Química Industrial,30
Sistemas de Informação,40
Direito,41
Direito,41
Direito,41
Direito,41
Direito,41
Administração,46
Administração,46
Administração,46
Arquivologia,40
Biblioteconomia,41
Biblioteconomia,41
Ciências Contábeis,41
Ciências Contábeis,41
Ciências Contábeis,41
Economia,51
Economia,51
Serviço Social,41
Serviço Social,41
Serviço Social,41
Turismo,40
Turismo,40
Licenciatura Integrada em Ciências, Matemática e Linguagens,42
Licenciatura Integrada em Ciências, Matemática e Linguagens,45
Ciências Sociais,25
Ciências Sociais,25
Ciências Sociais,26
Ciências Sociais,25
Filosofia,40
Filosofia,20
Geografia,31
Geografia,41
História,41
História,41
Psicologia,31
Psicologia,31
Geofísica,38
Geologia,41
Meteorologia,28
Oceanografia,41
Comunicação Social - Jornalismo,31
Comunicação Social - Publicidade e Propaganda,21
Letras - Libras,26
Letras- Língua Alemã,26
Letras - Língua Espanhola,26
Letras - Língua Francesa,26
Letras - Língua Inglesa,27
Letras - Língua Inglesa,26
Letras - Língua Portuguesa,26
Letras - Língua Portuguesa,25
Letras - Língua Portuguesa,26
Letras - Língua Portuguesa,26
Arquitetura e Urbanismo,31
Arquitetura e Urbanismo,31
Conservação e Restauro,31
Engenharia Biomédica,21
Engenharia Biomédica,20
Engenharia Civil,31
Engenharia Civil,30
Engenharia Civil,30
Engenharia Civil,31
Engenharia da Computação,21
Engenharia da Computação,20
Engenharia de Alimentos,36
Engenharia de Telecomunicações,20
Engenharia de Telecomunicações,20
Engenharia Elétrica,36
Engenharia Elétrica,35
Engenharia Ferroviária e Logística,30
Engenharia Mecânica,41
Engenharia Mecânica,41
Engenharia Naval,26
Engenharia Química,26
Engenharia Química,25
Engenharia Sanitária e Ambiental,30
Engenharia Sanitária e Ambiental,30
