Ano,2014,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,,,2020,,,,,,,,,2021,,,,,,,,
Instituto/Curso, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Outro,Total Geral
Instituto Amazônico de  Agriculturas Familiares - INEAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,1,0,0,12,0,0,0,0,13
Instituto de Ciências Biológicas - ICB ,4,0,22,19,40,0,0,2,87,3,0,0,36,2,0,0,3,44,3,0,0,11,4,0,0,0,18,3,0,7,45,1,32,0,0,88,13,17,14,20,27,25,0,0,116,0,0,20,28,0,0,0,0,48,7,0,4,19,0,0,0,0,30,4,0,0,33,0,0,0,0,37
Instituto de Ciências da Arte - ICA ,2,0,41,26,32,20,1,0,122,2,0,0,19,2,0,0,3,26,1,0,0,12,3,0,0,0,16,3,0,1,36,43,17,0,0,100,4,35,17,15,62,29,0,3,165,1,0,32,22,0,0,0,1,56,3,0,13,16,0,0,0,0,32,10,0,0,18,0,0,0,0,28
Instituto de Ciências da Educação - ICED ,8,0,50,31,142,0,3,2,236,3,0,0,21,0,0,2,1,27,1,0,0,33,1,0,1,2,38,3,0,22,22,12,39,0,1,99,1,4,9,15,50,8,0,0,87,1,0,51,15,1,0,0,0,68,3,0,6,14,0,0,0,0,23,1,0,0,16,0,0,1,0,18
Instituto de Ciências da Saúde - ICS ,3,0,55,23,66,0,0,2,149,5,0,0,62,1,0,2,5,75,1,0,0,76,2,0,0,0,79,7,0,2,73,55,17,0,0,154,6,41,8,28,83,73,1,1,241,2,0,12,58,0,0,3,5,80,8,0,1,40,0,0,0,0,49,6,0,0,64,0,0,0,0,70
Instituto de Ciências Exatas e Naturais - ICEN ,13,0,216,74,108,0,2,2,415,3,0,0,148,11,0,5,5,172,12,0,0,8,0,0,0,4,24,14,0,4,141,152,0,0,4,315,37,91,81,67,190,153,1,0,620,1,0,70,90,3,1,0,2,167,21,0,21,72,0,0,0,0,114,16,0,0,107,0,0,0,0,123
Instituto de Ciências Jurídicas - ICJ ,0,0,18,15,0,0,0,1,34,1,0,1,21,0,0,3,4,30,0,0,0,41,73,0,1,0,115,0,0,0,24,0,16,0,0,40,1,0,21,8,153,4,1,0,188,0,0,4,21,3,0,1,1,30,2,0,0,13,0,0,0,0,15,0,0,0,11,0,0,2,0,13
Instituto de Ciências Sociais Aplicadas - ICSA,9,0,201,60,3,0,4,3,280,12,0,0,124,1,0,2,10,149,15,0,0,4,0,0,0,0,19,15,0,59,90,228,31,1,0,424,20,136,77,58,218,134,2,1,646,3,0,98,60,9,0,1,1,172,10,0,15,41,0,0,0,0,66,16,0,0,108,0,0,0,1,125
Instituto de Educação Matemática e Científica - IEMCI ,1,0,0,10,0,0,0,1,12,4,0,0,17,0,0,0,1,22,3,0,0,26,1,0,0,0,30,5,0,0,9,0,0,0,2,16,5,3,4,7,47,5,0,0,71,1,0,9,10,0,0,0,0,20,6,0,3,9,0,0,0,0,18,0,0,0,7,0,0,0,0,7
Instituto de Filosofia e Ciências Humanas - IFCH ,11,1,205,33,5,2,4,5,266,4,0,0,58,6,0,0,4,72,14,0,0,40,21,0,0,1,76,8,0,40,71,16,71,0,0,206,17,44,41,58,237,72,1,4,474,0,2,69,66,0,0,0,0,137,10,0,45,29,2,0,0,0,86,12,0,6,55,1,1,0,0,75
