a,Curso,Vagas,Tipo,2014,2015,2016,2017,2018,2019,2020,2021
0,Cinema e Audiovisual,25,HUM,10,5,2,27,22,11,5,3
1,Dança,40.0,HUM,23,1,2,16,15,3,1,3
2,Museologia,30.0,HUM,24,4,3,10,42,5,3,2
3,Música,30.0,HUM,27,6,5,3,31,9,3,0
4,Teatro,40.0,HUM,20,2,1,7,23,11,7,6
5,Biomedicina,40.0,BIO,15,9,2,17,33,9,6,6
6,Biotecnologia,40.0,BIO,18,15,1,3,28,6,6,10
7,Ciências Biológicas,90.0,BIO,54,20,13,64,43,27,14,16
8,Educação Física,40.0,HUM,19,7,8,17,14,12,3,2
9,Pedagogia,180.0,HUM,131,20,10,81,73,56,20,16
10,Ciência da Computação,40.0,EXATAS,46,13,7,39,23,18,8,4
11,Ciências Naturais,70.0,EXATAS,33,16,11,38,37,21,10,18
12,Estatística,40.0,EXATAS,58,15,10,15,86,14,11,8
13,Física,130.0,EXATAS,94,52,25,43,218,46,34,41
14,Matemática,80.0,EXATAS,97,32,16,95,90,25,16,22
15,Química,60.0,EXATAS,51,27,16,16,83,20,20,13
16,Química Industrial,30.0,EXATAS,18,7,3,11,52,9,4,11
17,Sistemas de Informação,40.0,EXATAS,18,10,6,53,31,14,11,6
18,Direito,200.0,HUM,34,30,8,40,188,29,15,13
19,Enfermagem,80.0,BIO,46,12,12,21,40,20,14,11
20,Farmácia,70.0,BIO,91,14,3,32,62,9,5,14
21,Fisioterapia,30.0,BIO,1,4,2,5,25,5,8,8
22,Medicina,150.0,BIO,8,6,1,51,10,6,2,6
23,Nutrição,60.0,BIO,37,8,7,9,44,15,4,12
24,Odontologia,90.0,BIO,47,26,11,40,45,17,12,13
25,Administração,130,HUM,48,18,6,24,213,23,20,21
26,Arquivologia,40.0,HUM,2,5,2,15,22,8,5,6
27,Biblioteconomia,80.0,HUM,21,10,37,20,54,15,8,14
28,Ciências Contábeis,120.0,HUM,60,18,22,91,76,19,10,16
29,Serviço Social,120.0,HUM,23,12,32,65,60,17,6,21
30,Turismo,80.0,HUM,54,22,19,27,130,40,11,25
31,Licenciatura Integrada em Educação em Ciências Matemática e Linguagens,80.0,HUM,12,21,7,14,71,20,18,7
32,Ciências Sociais,100.0,HUM,78,25,15,107,96,29,19,22
33,Filosofia,60.0,HUM,44,19,3,50,33,21,13,16
34,Geografia,70.0,HUM,46,11,14,13,121,43,16,10
35,História,80.0,HUM,69,24,5,25,104,19,11,21
36,Psicologia,60.0,HUM,28,18,5,11,120,54,27,5
37,Geofísica,30.0,EXATAS,11,17,15,27,38,11,5,19
38,Geologia,40.0,EXATAS,13,13,27,21,24,11,7,12
39,Meteorologia,30.0,EXATAS,26,18,17,89,36,12,10,16
40,Oceanografia,40.0,EXATAS,13,21,12,50,12,7,6,6
41,Comunicação Social,50.0,HUM,22,11,3,6,39,9,8,8
42,Letras,230,HUM,108,156,32,65,374,78,44,55
43,Engenharia Civil,120.0,EXATAS,78,29,19,34,216,43,27,23
44,Engenharia da Computação,40.0,EXATAS,44,33,18,24,134,56,20,12
45,Engenharia de Alimentos,30.0,EXATAS,16,22,8,12,60,12,12,8
46,Engenharia de Telecomunicações,40.0,EXATAS,2,12,9,10,37,20,9,15
47,Engenharia Elétrica,70.0,EXATAS,65,27,9,17,94,33,17,13
48,Engenharia Mecânica,80.0,EXATAS,100,15,11,29,74,28,14,21
49,Engenharia Naval,20.0,EXATAS,8,5,5,14,25,7,3,4
50,Engenharia Química,50.0,EXATAS,32,43,26,23,105,16,22,15
51,Engenharia Sanitária e Ambiental,60.0,EXATAS,22,23,28,42,24,16,11,17
53,Engenharia Ferroviária e Logística,30.0,EXATAS,3,4,6,9,5,5,3,5
54,Engenharia Biomédica,40.0,EXATAS,7,14,9,11,22,15,10,10
55,Artes Visuais,30.0,HUM,18,7,2,33,20,9,4,8
56,Terapia Ocupacional,30.0,BIO,7,5,0,1,15,5,4,7
57,Arquitetura e Urbanismo,60,HUM,13,17,7,9,63,8,9,6
58,Engenharia de Bioprocessos,40.0,BIO,0,0,3,4,12,6,4,5
59,Desenvolvimento Rural,45.0,BIO,0,0,0,0,0,2,2,13
60,Produção Multimídia,20.0,HUM,0,2,1,5,12,8,9,3
61,Economia,100.0,HUM,59,39,12,184,91,20,6,22
62,Conservação e Restauro,30.0,HUM,0,0,0,0,0,0,1,5
63,Produção Cênica,10,HUM,0,0,0,0,0,0,0,3
