Instituto/Curso , Código do Curso, Cadastro Cancelado, Cancelamento Novo Vestibular, Cancelamento Judicial, Cancelamento Por CRPL Zero, Decurso de Prazo M�ximo p/ Conclus�o de Curso, Desist�ncia, Exclu�do Art.45 Possui Outro Curso, Falecimento do Aluno, Limite de Trancamento, Prescrito, T�rmino do Benef�cio do Conv�nio, Transfer�ncia p/ Outra IES, Total Geral
Instituto de Ciências Biológicas -
Ciências Biológicas,50,0,2,0,0,0,14,1,1,0,2,0,0,20
Biomedicina,47,0,0,0,0,0,9,0,0,0,0,0,0,9
Biotecnologia,48,0,1,0,0,0,13,1,0,0,0,0,0,15
Instituto de Ciências da Arte - ICA,
Artes Visuais (Bacharelado/Licenciatura),45,1,1,1,0,0,4,0,0,0,0,0,0,7
Dança (Licenciatura),60,0,0,0,0,0,1,0,0,0,0,0,0,1
Música (Licenciatura),100,1,0,0,0,0,3,0,0,0,2,0,0,6
Teatro (Licenciatura),112,0,0,0,0,0,2,0,0,0,0,0,0,2
Tecnologia em Produção Multimídia,113,0,0,0,0,0,1,0,0,0,0,0,0,1
Cinema e Audiovisual - Intensivo,56,0,0,0,0,0,3,0,0,0,0,0,0,3
Cinema e Audiovisual,615,0,0,0,0,0,2,0,0,0,0,0,0,2
Instituto de Ciências da Educação - ICED,
Pedagogia,105,0,3,0,0,0,13,1,0,0,0,0,2,19
Pedagogia - Parfor,516,0,0,0,0,0,1,0,0,0,0,0,0,1
Educação Física,64,0,0,0,0,0,7,0,0,0,0,0,0,7
Instituto de Ciências da Saúde - ICSA
Enfermagem,65,0,0,0,0,0,12,0,0,0,0,0,0,12
Farmácia,79,0,0,0,0,0,14,0,0,0,0,0,0,14
Fisioterapia,82,0,0,0,0,0,3,0,0,0,1,0,0,4
Medicina,97,0,0,0,0,0,3,1,0,0,0,2,0,6
Nutrição,101,0,1,0,0,0,7,0,0,0,0,0,0,8
Odontologia,104,0,4,0,0,0,19,1,1,0,0,0,1,26
Terapia Ocupacional,116,0,0,0,0,0,4,0,0,0,0,0,1,5
Instituto de Ciências Exatas e Naturais - ICEN,
Ciência da Computação,49,0,1,0,0,0,12,0,0,0,0,0,0,13
Ciências Naturais (Licenciatura),54,0,0,0,0,0,7,0,0,0,9,0,0,16
Estatística - Bacharelado,78,1,1,0,0,0,12,0,0,0,0,0,1,15
Física,81,0,0,0,0,0,44,3,0,0,2,0,1,50
Matemática,96,0,1,0,0,0,29,0,0,0,0,0,1,31
Química,108,0,0,0,0,0,25,1,0,0,0,0,1,27
Química Industrial,109,0,0,0,0,0,7,0,0,0,0,0,0,7
Sistemas de Informação,111,0,0,0,0,0,9,0,0,0,0,0,1,10
Física - Parfor,411,0,0,0,0,0,2,0,0,0,0,0,0,2
Matemática - Parfor,484,0,0,0,0,0,1,0,0,0,0,0,0,1
Instituto de Ciências Jurídicas - ICJ
Direito,61,0,1,1,0,1,21,2,1,0,0,0,3,30
Instituto de Ciências Sociais Aplicadas - ICSA,
Administração,42,1,1,0,0,0,16,0,0,0,0,0,0,18
Arquitetura e Urbanismo,43,0,0,0,0,0,10,1,0,0,5,1,0,17
Arquivologia,44,0,1,0,0,0,4,0,0,0,0,0,0,5
Biblioteconomia,46,0,2,0,0,0,7,1,0,0,0,0,0,10
Ciências Contábeis,51,0,1,0,0,0,14,2,0,0,0,0,1,18
Ciências Econômicas,53,0,2,0,0,0,31,3,2,0,0,0,1,39
Museologia (Bacharelado),99,0,1,0,0,0,3,0,0,0,0,0,0,4
Serviço Social,110,0,0,0,0,0,12,0,0,0,0,0,0,12
Turismo,117,0,2,0,0,0,20,0,0,0,0,0,0,22
Ciências Sociais,55,0,3,0,0,0,20,1,0,0,1,0,0,25
Instituto de Educação Matemática e  Científica - IEMCI
Licenciatura Integrada em educação, 477,0,0,0,0,0,1,0,0,0,0,0,0,1
Instituto de Filosofia e CIências Humanas - IFCH,
Filosofia (Bacharelado/Licenciatura), 80,0,1,0,0,0,13,0,0,0,5,0,0,19
Geografia,84,1,0,0,0,0,10,0,0,0,0,0,0,11
Historia,86,0,2,0,0,0,22,0,0,0,0,0,0,24
Psicologia - Formação do Psicólogo,107,0,1,0,0,0,13,3,0,0,1,0,0,18
Instituto de Geociências - IG,
Geofísica,83,0,0,0,0,1,16,0,0,0,0,0,0,17
Geologia,85,0,0,0,0,1,11,0,0,0,1,0,0,13
Meteorologia,98,0,3,0,0,0,15,0,0,0,0,0,0,18
Oceanografia,103,0,0,1,0,0,17,0,0,0,3,0,0,21
Instituto de Letras e Comunicação - ILC,
Comunicação Social,57,0,1,0,0,0,6,0,0,0,4,0,0,11
Letras (Licenciatura em Língua Alemã),87,0,3,0,0,0,6,0,0,0,0,0,0,9
Letras (Licenciatura em Língua Espanhola),88,0,1,0,0,0,5,1,0,0,0,0,1,8
Letras (Licenciatura em Língua Francesa),89,0,3,0,0,0,4,0,0,0,0,0,0,7
Letras (Licenciatura em Língua Inglesa),90,0,3,0,0,0,15,0,0,0,4,0,1,23
Letras (Licenciatura em Língua Portuguesa),91,0,3,0,73,1,18,0,0,1,6,0,0,102
Letras  (Licenciatura  em  Libras  e  Língua Portuguesa) - Intensivo, 92, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
Letras (Licenciatura em Língua Portuguesa/Parfor), 455,0,0,0,0,0,2,0,0,0,0,0,0,2
Instituto de Tecnologia - ITEC,
Engenharia da Computação,68,0,1,0,0,0,31,0,0,0,0,0,1,33
