Instituto/Curso, Canc.por Reopção, Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Possui outro curso, Falecimento do Aluno, Limite de Trancamento, Prescrito, Programa Cancelado, Transferência para outra IES, Total geral
Instituto de Ciências Biológicas - ICB , 3,0,7,45,0,0,32,1,0,0,88
Biomedicina , 1,0,0,16,0,0,0,0,0,0,17
Biotecnologia , 0,0,0,3,0,0,0,0,0,0,3
Ciências Biológicas , 2,0,7,22,0,0,32,1,0,0,64
Engenharia de Bioprocessos , 0,0,0,4,0,0,0,0,0,0,4
Instituto de Ciências da Arte - ICA , 3,0,1,36,0,1,17,43,0,0,101
Artes Visuais (Bacharelado/Licenciatura), 0, 0, 0, 14, 0, 0, 0, 19, 0, 0, 33
Dança (Licenciatura), 0, 0, 0, 2, 0, 0, 0, 14, 0, 0, 16
Museologia (Bacharelado), 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 10
Música (Licenciatura), 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3
Teatro (Licenciatura), 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 7
Tecnologia em Produção Multimídia , 0,0,0,4,0,1,0,0,0,0,5
Cinema e Audiovisual - Intensivo, 1, 0, 1, 5, 0, 0, 17, 3, 0, 0, 27
Instituto de Ciências da Educação - ICED , 3,0,22,22,0,0,39,12,0,0,98
Educação Física , 0,0,0,6,0,0,0,11,0,0,17
Pedagogia , 3,0,22,16,0,0,39,1,0,0,81
Instituto de Ciências da Saúde - ICS , 7,0,2,73,1,0,17,55,3,0,158
Enfermagem , 2,0,1,16,0,0,0,2,0,0,21
Farmácia , 0,0,1,11,0,0,17,0,3,0,32
Fisioterapia , 1,0,0,4,0,0,0,0,0,0,5
Medicina , 1,0,0,15,1,0,0,34,0,0,51
Nutrição , 3,0,0,6,0,0,0,0,0,0,9
Odontologia , 0,0,0,21,0,0,0,19,0,0,40
Instituto de Ciências Exatas e Naturais - ICEN , 14,0,4,141,0,0,0,152,0,0,311
Ciências Naturais (Licenciatura),1,0,0 ,16,0,0,0 ,21,0,0, 38
Ciência da Computação , 2,0,0,17,0,0,0,20,0,0,39
Estatística - Bacharelado , 0,0,0,15,0,0,0,0,0,0,15
Física , 4,0,1,37,0,0,0,1,0,0,43
Matemática (Licenciatura),2,0,2 ,27,0,0,0 ,64,0,0, 95
Química , 1,0,1,14,0,0,0,0,0,0,16
Química Industrial , 3,0,0,8,0,0,0,0,0,0,11
Sistemas de Informação , 1,0,0,6,0,0,0,46,0,0,53
Terapia Ocupacional , 0,0,0,1,0,0,0,0,0,0,1
Instituto de Ciências Jurídicas - ICJ , 0,0,0,24,0,0,16,0,0,0,40
Direito , 0,0,0,24,0,0,16,0,0,0,40
Administração , 1,0,6,17,0,0,0,0,0,0,24
Arquivologia , 2,0,0,3,0,0,0,10,0,0,15
Biblioteconomia , 3,0,4,11,0,0,0,2,0,0,20
Ciências Contábeis , 3,0,44,13,0,1,30,0,0,0,91
Serviço Social , 3,0,0,12,0,0,0,49,0,1,65
Turismo , 3,0,3,15,0,1,1,4,0,0,27
Instituto de Educação Matemática e Científica - IEMCI , 5,0,0,9,0,0,0,0,0,0,14
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens , 5,0,0,9,0,0,0,0,0,0,14
Instituto de Filosofia e Ciências Humanas - IFCH , 8,0,40,71,0,0,71,16,0,0,206
Ciências Sociais , 5,0,32,21,0,0,41,8,0,0,107
Filosofia (Bacharelado/Licenciatura),1,0,4, 14,0,0 ,30,1,0,0, 50
Geografia (Bacharelado/Licenciatura),1,0,0,7,0,0,0,5,0,0, 13
História , 1,0,3,19,0,0,0,2,0,0,25
Psicologia , 0,0,1,0,0,0,0,0,0,0,1
Psicologia - Formação do Psicólogo , 0,0,0,10,0,0,0,0,0,0,10
Instituto de Geociências - IG , 9,8,3,66,0,0,5,95,0,1,187
Geofísica , 3,0,1,23,0,0,0,0,0,0,27
Geologia , 0,0,0,17,0,0,0,4,0,0,21
Meteorologia , 4,0,0,16,0,0,0,68,0,1,89
Oceanografia , 2,8,2,10,0,0,5,23,0,0,50
Instituto de Letras e Comunicação - ILC , 17,0,0,53,0,0,0,1,0,0,71
Comunicação Social , 3,0,0,2,0,0,0,1,0,0,6
Letras (Licenciatura em Língua Alemã), 7,0,0, 11,0,0,0,0,0,0, 18
Letras (Licenciatura em Língua Francesa),2,0,0,9,0,0,0,0,0,0, 11
Letras (Licenciatura em Língua Espanhola),2,0,0,6,0,0,0,0,0,0,8
Letras (Licenciatura em Língua Inglesa),1,0,0,5,0,0,0,0,0,0,6
Letras (Licenciatura em Língua Portuguesa),2,0,0 ,19,0,0, 0,0,0,0, 21
Letras (Licenciatura em Libras e Língua Portuguesa) - Intensivo, 0,0,0,1,0,0,0,0,0,0, 1
Instituto de Tecnologia - ITEC , 25,0,21,139,0,0,43,5,0,1,234
Arquitetura e Urbanismo , 2,0,2,5,0,0,0,0,0,0,9
