Instituto/Curso, Canc. Por Reopção, Cancelamento Judicial, Cancelamento Por Crpl Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Excluído Art.45 Possui Outro Curso, Limite de Trancamentos, Prescrito, Transf.P/Outra IES, Transferência Interna (Administrativa), Total Geral
Instituto Amazônico de  Agriculturas Familiares, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
Desenvolvimento Rural, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
Instituto de Ciências Biológicas, 0, 0, 0, 20, 28, 0, 0, 0, 0, 0, 48
Biotecnologia, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 6
Ciências Biológicas, 0, 0, 0, 5, 7, 0, 0, 0, 0, 0, 12
Ciências Biológicas (Licenciatura), 0, 0, 0, 11, 4, 0, 0, 0, 0, 0, 15
Biomedicina, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 9
Engenharia de Bioprocessos, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
Instituto de Ciências da Arte, 1, 0, 0, 32, 22, 0, 0, 0, 0, 1, 56
Artes Visuais, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 4
Artes Visuais (Licenciatura), 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 5
Cinema e Audiovisual, 0, 0, 0, 4, 7, 0, 0, 0, 0, 0, 11
Dança (Licenciatura), 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 3
Museologia, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 5
Música (Licenciatura), 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 9
Produção Multimídia, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
Teatro (Licenciatura), 0, 0, 0, 7, 4, 0, 0, 0, 0, 0, 11
Instituto de Ciências da Educação, 1, 0, 0, 51, 15, 0, 0, 1, 0, 0, 68
Educação Física (Licenciatura), 0, 0, 0, 10, 2, 0, 0, 0, 0, 0, 12
Pedagogia (Licenciatura), 1, 0, 0, 41, 13, 0, 0, 1, 0, 0, 56
Instituto de Ciências da Saúde, 2, 0, 0, 12, 58, 1, 0, 0, 3, 1, 77
Enfermagem, 0, 0, 0, 2, 17, 0, 0, 0, 1, 0, 20
Farmácia, 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 9
Fisioterapia, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
Medicina, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 6
Nutrição, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 15
Odontologia, 1, 0, 0, 2, 13, 0, 0, 0, 1, 0, 17
Terapia Ocupacional, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 5
Instituto de Ciências Exatas e Naturais, 1, 1, 0, 70, 90, 0, 1, 3, 0, 1, 167
Física, 0, 1, 0, 0, 15, 0, 1, 0, 0, 0, 17
Ciência da Computação, 0, 0, 0, 13, 4, 0, 0, 1, 0, 0, 18
Ciências Naturais (Licenciatura), 0, 0, 0, 9, 12, 0, 0, 0, 0, 0, 21
Estatística, 0, 0, 0, 4, 10, 0, 0, 0, 0, 0, 14
Física, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 5
Física (Licenciatura), 0, 0, 0, 15, 8, 0, 0, 0, 0, 1, 24
Matemática (Licenciatura), 0, 0, 0, 11, 13, 0, 0, 1, 0, 0, 25
Química, 1, 0, 0, 1, 7, 0, 0, 0, 0, 0, 9
Química Industrial, 0, 0, 0, 6, 3, 0, 0, 0, 0, 0, 9
Química (Licenciatura), 0, 0, 0, 2, 9, 0, 0, 0, 0, 0, 11
Sistemas de Informação, 0, 0, 0, 7, 6, 0, 0, 1, 0, 0, 14
Instituto de Ciências Jurídicas, 0, 0, 0, 4, 21, 0, 0, 3, 1, 0, 29
Direito, 0, 0, 0, 4, 21, 0, 0, 3, 1, 0, 29
Instituto de Ciências Sociais, 3, 0, 0, 98, 60, 0, 0, 9, 1, 0, 171
Ciências Sociais, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 5
Administração, 0, 0, 0, 13, 7, 0, 0, 0, 0, 0, 20
Administração-Intensivo, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
Arquivologia, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 8
Biblioteconomia, 0, 0, 0, 3, 5, 0, 0, 7, 0, 0, 15
Ciências Contábeis, 0, 0, 0, 6, 9, 0, 0, 0, 0, 0, 15
Ciências Contábeis-Intensivo, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 4
Ciências Sociais Aplicadas, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 7
Ciências Sociais (Licenciatura), 0, 0, 0, 12, 5, 0, 0, 0, 0, 0, 17
Economia, 0, 0, 0, 6, 12, 0, 0, 1, 1, 0, 20
Serviço Social, 1, 0, 0, 8, 8, 0, 0, 0, 0, 0, 17
Turismo, 1, 0, 0, 23, 6, 0, 0, 1, 0, 0, 31
Turismo - Intensivo, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
Instituto de Educação Matemática e Científica, 1, 0, 0, 9, 10, 0, 0, 0, 0, 0, 20
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens, 1, 0, 0, 9, 10, 0, 0, 0, 0, 0, 20
Instituto de Filosofia e Ciências Humanas, 0, 0, 2, 69, 66, 0, 0, 0, 0, 0, 137
Filosofia, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 4
Filosofia, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
Filosofia (Licenciatura), 0, 0, 0, 11, 2, 0, 0, 0, 0, 0, 13
Geografia, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0, 8
Geografia (Licenciatura), 0, 0, 0, 28, 5, 0, 0, 0, 0, 0, 33
Geografia (Licenciatura) - Intensivo, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
História, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2
História (Licenciatura), 0, 0, 0, 12, 5, 0, 0, 0, 0, 0, 17
Psicologia, 0, 0, 0, 6, 48, 0, 0, 0, 0, 0, 54
Instituto de Geociências, 1, 0, 0, 11, 27, 0, 2, 0, 0, 0, 41
Geofísica, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 11
Geologia, 0, 0, 0, 3, 8, 0, 0, 0, 0, 0, 11
Meteorologia, 0, 0, 0, 3, 7, 0, 2, 0, 0, 0, 12
Oceanografia, 1, 0, 0, 4, 2, 0, 0, 0, 0, 0, 7
Instituto de Letras e Comunicação, 2, 0, 1, 44, 37, 0, 1, 2, 0, 0, 87
Comunicação Social - Jornalismo, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 5
Comunicação Social - Publicidade e Propaganda, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
Letras - Alemão (Licenciatura), 1, 0, 0, 4, 7, 0, 0, 0, 0, 0, 12
Letras - Espanhol (Licenciatura), 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2
Letras - Francês (Licenciatura), 0, 0, 0, 5, 3, 0, 0, 1, 0, 0, 9
Letras - Inglês (Licenciatura), 0, 0, 0, 3, 10, 0, 0, 0, 0, 0, 13
Letras - Libras (Licenciatura), 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
Letras - Libras (Licenciatura) - Intensivo, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 5
Letras - Língua Portuguesa, 0, 0, 0, 25, 10, 0, 1, 0, 0, 0, 36
Instituto de Tecnologia, 6, 0, 0, 98, 147, 0, 2, 4, 2, 0, 259
Arquitetura e Urbanismo, 0, 0, 0, 4, 3, 0, 0, 1, 0, 0, 8
Engenharia Biomédica, 0, 0, 0, 0, 14, 0, 0, 0, 1, 0, 15
Engenharia Civil, 2, 0, 0, 30, 10, 0, 0, 0, 1, 0, 43
Engenharia da Computação, 1, 0, 0, 25, 29, 0, 0, 1, 0, 0, 56
Engenharia de Alimentos, 1, 0, 0, 2, 9, 0, 0, 0, 0, 0, 12
Engenharia de Telecomunicações, 0, 0, 0, 3, 16, 0, 1, 0, 0, 0, 20
Engenharia Elétrica, 0, 0, 0, 8, 24, 0, 1, 0, 0, 0, 33
Engenharia Ferroviária e Logística, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
Engenharia Mecânica, 1, 0, 0, 14, 12, 0, 0, 1, 0, 0, 28
Engenharia Naval, 1, 0, 0, 3, 3, 0, 0, 0, 0, 0, 7
Engenharia Química, 0, 0, 0, 2, 13, 0, 0, 1, 0, 0, 16
Engenharia Sanitária e Ambiental, 0, 0, 0, 7, 9, 0, 0, 0, 0, 0, 16
Total geral, 19, 1, 3, 518, 582, 1, 6, 22, 7, 3, 1
